grid_id,center_lat,center_lng,area_density
1,37.521431,126.967097,149.57
2,37.521431,126.967665,149.57
3,37.521881,126.966529,149.57
4,37.521881,126.967097,149.57
5,37.521881,126.967665,149.57
6,37.522331,126.965961,149.57
7,37.522331,126.966529,149.57
8,37.522331,126.967097,149.57
9,37.522331,126.967665,149.57
10,37.522782,126.965392,149.57
11,37.522782,126.965961,149.57
12,37.522782,126.966529,149.57
13,37.522782,126.967097,149.57
14,37.522782,126.967665,149.57
15,37.523232,126.964824,149.57
16,37.523232,126.965392,149.57
17,37.523232,126.965961,149.57
18,37.523232,126.966529,149.57
19,37.523232,126.967097,149.57
20,37.523232,126.967665,149.57
21,37.523683,126.964256,149.57
22,37.523683,126.964824,149.57
23,37.523683,126.965392,149.57
24,37.523683,126.965961,149.57
25,37.523683,126.966529,149.57
26,37.523683,126.967097,149.57
27,37.523683,126.967665,149.57
28,37.524133,126.963688,149.57
29,37.524133,126.964256,149.57
30,37.524133,126.964824,149.57
31,37.524133,126.965392,149.57
32,37.524133,126.965961,149.57
33,37.524133,126.966529,149.57
34,37.524133,126.967097,149.57
35,37.524133,126.967665,149.57
36,37.524584,126.962551,149.57
37,37.524584,126.963119,149.57
38,37.524584,126.963688,149.57
39,37.524584,126.964256,149.57
40,37.524584,126.964824,149.57
41,37.524584,126.965392,149.57
42,37.524584,126.965961,149.57
43,37.524584,126.966529,149.57
44,37.524584,126.967097,149.57
45,37.524584,126.967665,149.57
46,37.525034,126.961983,81.79
47,37.525034,126.962551,149.57
48,37.525034,126.963119,149.57
49,37.525034,126.963688,149.57
50,37.525034,126.964256,149.57
51,37.525034,126.964824,149.57
52,37.525034,126.965392,149.57
53,37.525034,126.965961,149.57
54,37.525034,126.966529,149.57
55,37.525034,126.967097,149.57
56,37.525034,126.967665,149.57
57,37.525485,126.961415,81.79
58,37.525485,126.961983,81.79
59,37.525485,126.962551,149.57
60,37.525485,126.963119,149.57
61,37.525485,126.963688,149.57
62,37.525485,126.964256,149.57
63,37.525485,126.964824,149.57
64,37.525485,126.965392,149.57
65,37.525485,126.965961,149.57
66,37.525485,126.966529,149.57
67,37.525485,126.967097,149.57
68,37.525485,126.967665,149.57
69,37.525935,126.960846,13.74
70,37.525935,126.961415,13.74
71,37.525935,126.961983,13.74
72,37.525935,126.962551,473.55
73,37.525935,126.963119,473.55
74,37.525935,126.963688,473.55
75,37.525935,126.964256,473.55
76,37.525935,126.964824,473.55
77,37.525935,126.965392,473.55
78,37.525935,126.965961,473.55
79,37.525935,126.966529,473.55
80,37.525935,126.967097,473.55
81,37.525935,126.967665,473.55
82,37.526385,126.960278,13.74
83,37.526385,126.960846,13.74
84,37.526385,126.961415,13.74
85,37.526385,126.961983,13.74
86,37.526385,126.962551,473.55
87,37.526385,126.963119,473.55
88,37.526385,126.963688,473.55
89,37.526385,126.964256,473.55
90,37.526385,126.964824,473.55
91,37.526385,126.965392,473.55
92,37.526385,126.965961,473.55
93,37.526385,126.966529,473.55
94,37.526385,126.967097,473.55
95,37.526385,126.967665,473.55
96,37.526836,126.95971,13.74
97,37.526836,126.960278,13.74
98,37.526836,126.960846,13.74
99,37.526836,126.961415,13.74
100,37.526836,126.961983,13.74
101,37.526836,126.962551,473.55
102,37.526836,126.963119,473.55
103,37.526836,126.963688,473.55
104,37.526836,126.964256,473.55
105,37.526836,126.964824,473.55
106,37.526836,126.965392,473.55
107,37.526836,126.965961,473.55
108,37.526836,126.966529,473.55
109,37.526836,126.967097,473.55
110,37.526836,126.967665,473.55
111,37.527286,126.959142,13.74
112,37.527286,126.95971,13.74
113,37.527286,126.960278,13.74
114,37.527286,126.960846,13.74
115,37.527286,126.961415,13.74
116,37.527286,126.961983,13.74
117,37.527286,126.962551,473.55
118,37.527286,126.963119,473.55
119,37.527286,126.963688,473.55
120,37.527286,126.964256,473.55
121,37.527286,126.964824,473.55
122,37.527286,126.965392,473.55
123,37.527286,126.965961,473.55
124,37.527286,126.966529,473.55
125,37.527286,126.967097,473.55
126,37.527286,126.967665,473.55
127,37.527737,126.958573,13.74
128,37.527737,126.959142,13.74
129,37.527737,126.95971,13.74
130,37.527737,126.960278,13.74
131,37.527737,126.960846,13.74
132,37.527737,126.961415,13.74
133,37.527737,126.961983,13.74
134,37.527737,126.962551,473.55
135,37.527737,126.963119,473.55
136,37.527737,126.963688,473.55
137,37.527737,126.964256,473.55
138,37.527737,126.964824,473.55
139,37.527737,126.965392,473.55
140,37.527737,126.965961,473.55
141,37.527737,126.966529,473.55
142,37.527737,126.967097,473.55
143,37.527737,126.967665,473.55
144,37.528187,126.958005,13.74
145,37.528187,126.958573,13.74
146,37.528187,126.959142,13.74
147,37.528187,126.95971,13.74
148,37.528187,126.960278,13.74
149,37.528187,126.960846,13.74
150,37.528187,126.961415,13.74
151,37.528187,126.961983,13.74
152,37.528187,126.962551,473.55
153,37.528187,126.963119,473.55
154,37.528187,126.963688,473.55
155,37.528187,126.964256,473.55
156,37.528187,126.964824,473.55
157,37.528187,126.965392,473.55
158,37.528187,126.965961,473.55
159,37.528187,126.966529,473.55
160,37.528187,126.967097,473.55
161,37.528187,126.967665,473.55
162,37.528638,126.957437,13.74
163,37.528638,126.958005,13.74
164,37.528638,126.958573,13.74
165,37.528638,126.959142,13.74
166,37.528638,126.95971,13.74
167,37.528638,126.960278,13.74
168,37.528638,126.960846,13.74
169,37.528638,126.961415,13.74
170,37.528638,126.961983,13.74
171,37.528638,126.962551,473.55
172,37.528638,126.963119,473.55
173,37.528638,126.963688,473.55
174,37.528638,126.964256,473.55
175,37.528638,126.964824,473.55
176,37.528638,126.965392,473.55
177,37.528638,126.965961,473.55
178,37.528638,126.966529,473.55
179,37.528638,126.967097,473.55
180,37.528638,126.967665,473.55
181,37.528638,126.968234,167.58
182,37.529088,126.956869,13.74
183,37.529088,126.957437,13.74
184,37.529088,126.958005,13.74
185,37.529088,126.958573,13.74
186,37.529088,126.959142,13.74
187,37.529088,126.95971,13.74
188,37.529088,126.960278,13.74
189,37.529088,126.960846,13.74
190,37.529088,126.961415,13.74
191,37.529088,126.961983,13.74
192,37.529088,126.962551,473.55
193,37.529088,126.963119,473.55
194,37.529088,126.963688,473.55
195,37.529088,126.964256,473.55
196,37.529088,126.964824,473.55
197,37.529088,126.965392,473.55
198,37.529088,126.965961,473.55
199,37.529088,126.966529,473.55
200,37.529088,126.967097,473.55
201,37.529088,126.967665,473.55
202,37.529088,126.968234,167.58
203,37.529539,126.9563,51.64
