,격자명,밀집도,center_lat,center_lng,sw_lat,sw_lng,ne_lat,ne_lng
0,다사54504050,5168.6,37.46372075093386,126.98690060453445,37.46258791672633,126.98549472210436,37.46485353123855,126.98830621430298
1,다사54255700,1263.27,37.61242668462337,126.9830478556564,37.61129405278585,126.98163943531499,37.613559742737706,126.98445634612612
2,다사54255725,199.75,37.614680315376624,126.98303214434364,37.61354733398645,126.98162379468152,37.61581302407324,126.98444078921543
3,다사54255575,153.21,37.601160500000006,126.983126,37.600027633761606,126.98171761235513,37.602293323039376,126.98453410469223
4,다사54255600,3663.23,37.603413817213095,126.98311035381992,37.60228091930255,126.98170198043002,37.60454660871506,126.98451855644335
5,다사54255625,156.98000000000002,37.60566693372009,126.98309475093684,37.60453420397547,126.98168634676368,37.606799893522755,126.98450300646249
6,다사54255650,58.92,37.60792024906697,126.98307889528066,37.60678748778033,126.98167071135586,37.60905317746243,126.98448745474947
7,다사54255775,0.0,37.61918681721309,126.98300135381992,37.61805389378328,126.98159250818755,37.62031958414008,126.98440967019488
8,다사54255850,0.0,37.6259465,126.98295449999999,37.624813726967275,126.98154556537582,37.627079417729405,126.98436297866314
9,다사54005750,1184.26,37.61692106627991,126.9801842490632,37.615788136573855,126.97877551713866,37.61805389378328,126.98159250818755
10,다사54005675,999.75,37.610161249066984,126.98023089528064,37.60902829599757,126.97882269540514,37.61129405278585,126.98163943531499
11,다사54005700,136.24,37.61241456628039,126.98021524910017,37.61128157705783,126.97880697106797,37.61354733398645,126.98162379468152
12,다사54005725,1567.39,37.61466768462337,126.98019985565638,37.61353485724994,126.97879124497922,37.61580061431893,126.98160815230578
13,다사54005850,508.66,37.62593424906714,126.98012139524366,37.62480124518737,126.97871258825415,37.627067002958874,126.98152991428553
14,다사54005350,3732.15,37.58086856630379,126.9804347491,37.57973556321939,126.97902695248649,37.58200131818711,126.98184260509508
15,다사54005375,506.41999999999996,37.58312168460013,126.98041935561959,37.581988855564134,126.97901125090137,37.58425461067165,126.98182698709269
16,다사54005400,13523.81,37.585375,126.98040350000002,37.58424214704096,126.97899554756731,37.5865079022883,126.98181136735069
17,다사54005425,2808.82,37.58762831539988,126.98038764438043,37.58649543764982,126.97897984248412,37.588761193037044,126.98179574586884
18,다사54005250,38551.83,37.571855249066815,126.98049739531763,37.57072238516152,126.97908974134195,37.57298813957047,126.98190505971252
19,다사54005275,19887.55,37.5741085,126.98048150000001,37.57297568097778,126.97907404675045,37.57524143552637,126.98188944866655
20,다사54005300,19704.38,37.576361750903764,126.980466104683,37.5752289759262,126.97905835041082,37.577494730614454,126.9818738358818
21,다사54005325,12867.44,37.57861524906681,126.98045039531762,37.57748227000674,126.9790426523229,37.57974802483471,126.98185822135804
22,다사54005575,77165.54,37.601147999999995,126.980294,37.60001516307519,126.97888557524189,37.60228091930255,126.98170198043002
23,다사54005450,2317.65,37.589881500000004,126.980372,37.58874872739074,126.97896413565161,37.59101448291787,126.98178012264698
